time,RegionName,value
2013-07-01,89135,297800.0
2013-07-01,89107,97100.0
2013-07-01,89511,427900.0
2013-07-01,89002,181000.0
2013-07-01,89130,166400.0
2013-07-01,89134,213700.0
2013-07-01,89503,164500.0
2013-07-01,89081,152600.0
2013-07-01,89141,206900.0
2013-07-01,89011,167600.0
2013-07-01,89142,112800.0
2013-07-01,89434,168400.0
2013-07-01,89145,142500.0
2013-07-01,89084,188700.0
2013-07-01,89701,160500.0
2013-07-01,89801,233600.0
2013-07-01,89120,152200.0
2013-07-01,89044,255400.0
2013-07-01,89156,114500.0
2013-07-01,89048,130700.0
2013-07-01,89118,162500.0
2013-07-01,89706,159700.0
2013-07-01,89408,130900.0
2013-07-01,89166,194900.0
2013-07-01,89144,235600.0
2013-07-01,89146,202100.0
2013-07-01,89027,175700.0
2013-07-01,89403,158700.0
2013-07-01,89433,142200.0
2013-07-01,89005,215700.0
2013-07-01,89138,296000.0
2013-07-01,89460,213000.0
2013-07-01,89423,279600.0
2013-07-01,89410,255100.0
2013-07-01,89815,239000.0
2013-07-01,89029,149800.0
2013-07-01,89109,181800.0
2013-07-01,89508,158400.0
2013-07-01,89703,245600.0
2013-07-01,89441,255900.0
2013-07-01,89060,89800.0
2013-07-01,89143,168200.0
2013-07-01,89519,374400.0
2013-07-01,89447,105800.0
2013-07-01,89179,211600.0
2013-07-01,89429,100000.0
2013-07-01,89061,128000.0
2013-07-01,89451,693400.0
2013-07-01,89501,192300.0
2013-07-01,89705,211800.0
2013-07-01,89510,267100.0
2013-07-01,89086,172200.0
2013-07-01,89448,486600.0
2013-07-01,89704,215400.0
2013-07-01,89449,278800.0
2013-07-01,89040,127900.0
2013-07-01,89444,223800.0
2013-07-01,89085,227000.0
2013-07-01,89034,264100.0
2013-07-01,89021,187400.0
2013-07-01,89439,300500.0
2013-07-01,89411,515600.0
2013-07-01,89124,210600.0
2013-07-01,89440,130600.0
2013-07-01,89413,1441500.0
2013-07-01,89155,245500.0
2013-08-01,89108,116700.0
2013-08-01,89121,116800.0
2013-08-01,89117,232300.0
2013-08-01,89052,310500.0
2013-08-01,89123,191900.0
2013-08-01,89031,142700.0
2013-08-01,89110,100100.0
2013-08-01,89074,200700.0
2013-08-01,89103,144200.0
2013-08-01,89148,207500.0
2013-08-01,89147,172400.0
2013-08-01,89119,135400.0
2013-08-01,89129,180600.0
2013-08-01,89122,125900.0
2013-08-01,89115,89100.0
2013-08-01,89502,138100.0
2013-08-01,89014,174900.0
2013-08-01,89131,216200.0
2013-08-01,89509,264000.0
2013-08-01,89436,229000.0
2013-08-01,89015,145300.0
2013-08-01,89128,179300.0
2013-08-01,89523,245100.0
2013-08-01,89104,101200.0
2013-08-01,89012,229500.0
2013-08-01,89030,64100.0
2013-08-01,89431,124500.0
2013-08-01,89032,131400.0
2013-08-01,89506,145100.0
2013-08-01,89102,125800.0
2013-08-01,89139,185800.0
2013-08-01,89149,191100.0
2013-08-01,89178,198700.0
2013-08-01,89113,212700.0
2013-08-01,89521,262100.0
2013-08-01,89183,164400.0
2013-08-01,89135,301900.0
2013-08-01,89107,101800.0
2013-08-01,89511,430400.0
2013-08-01,89002,184000.0
2013-08-01,89130,169800.0
2013-08-01,89134,218700.0
2013-08-01,89503,166900.0
2013-08-01,89081,156300.0
2013-08-01,89141,209800.0
2013-08-01,89011,171700.0
2013-08-01,89142,115700.0
2013-08-01,89434,172400.0
2013-08-01,89145,144700.0
2013-08-01,89084,192400.0
2013-08-01,89701,159900.0
2013-08-01,89801,230500.0
2013-08-01,89120,155000.0
2013-08-01,89044,259200.0
2013-08-01,89156,117100.0
2013-08-01,89048,132700.0
2013-08-01,89118,166600.0
2013-08-01,89706,159300.0
2013-08-01,89408,133700.0
2013-08-01,89166,197700.0
2013-08-01,89144,240600.0
2013-08-01,89146,205800.0
2013-08-01,89027,176900.0
2013-08-01,89403,162300.0
2013-08-01,89433,144500.0
2013-08-01,89005,217600.0
2013-08-01,89138,301400.0
2013-08-01,89460,215200.0
2013-08-01,89423,282800.0
2013-08-01,89410,257600.0
2013-08-01,89815,236700.0
2013-08-01,89029,150600.0
2013-08-01,89109,181000.0
2013-08-01,89508,160500.0
2013-08-01,89703,245800.0
2013-08-01,89441,259500.0
2013-08-01,89060,91500.0
2013-08-01,89143,172500.0
2013-08-01,89519,378300.0
2013-08-01,89447,108100.0
2013-08-01,89179,215500.0
2013-08-01,89429,101600.0
2013-08-01,89061,130200.0
2013-08-01,89451,694200.0
2013-08-01,89501,196100.0
2013-08-01,89705,212800.0
2013-08-01,89510,268700.0
2013-08-01,89086,176600.0
2013-08-01,89448,492300.0
2013-08-01,89704,221100.0
2013-08-01,89449,278100.0
2013-08-01,89040,131900.0
2013-08-01,89444,227100.0
2013-08-01,89085,232000.0
2013-08-01,89034,265200.0
2013-08-01,89021,189200.0
2013-08-01,89439,305000.0
2013-08-01,89411,520200.0
2013-08-01,89124,209000.0
2013-08-01,89440,133900.0
2013-08-01,89413,1453900.0
2013-08-01,89155,249100.0
2013-09-01,89108,120600.0
2013-09-01,89121,119700.0
2013-09-01,89117,236300.0
2013-09-01,89052,315600.0
2013-09-01,89123,196000.0
2013-09-01,89031,145900.0
2013-09-01,89110,103700.0
2013-09-01,89074,204300.0
2013-09-01,89103,147100.0
2013-09-01,89148,212300.0
2013-09-01,89147,174900.0
2013-09-01,89119,138100.0
2013-09-01,89129,184100.0
2013-09-01,89122,129400.0
2013-09-01,89115,91400.0
2013-09-01,89502,140200.0
2013-09-01,89014,179000.0
2013-09-01,89131,220000.0
2013-09-01,89509,269600.0
2013-09-01,89436,233300.0
2013-09-01,89015,148500.0
2013-09-01,89128,182600.0
2013-09-01,89523,248300.0
2013-09-01,89104,103600.0
2013-09-01,89012,233900.0
2013-09-01,89030,65800.0
2013-09-01,89431,127000.0
2013-09-01,89032,134600.0
2013-09-01,89506,148400.0
2013-09-01,89102,128300.0
2013-09-01,89139,188800.0
2013-09-01,89149,195200.0
2013-09-01,89178,202600.0
2013-09-01,89113,217200.0
2013-09-01,89521,265800.0
2013-09-01,89183,169200.0
2013-09-01,89135,306300.0
2013-09-01,89107,107000.0
2013-09-01,89511,433100.0
2013-09-01,89002,187400.0
2013-09-01,89130,172800.0
2013-09-01,89134,223400.0
2013-09-01,89503,168600.0
2013-09-01,89081,160200.0
2013-09-01,89141,213000.0
2013-09-01,89011,176000.0
2013-09-01,89142,117900.0
2013-09-01,89434,176100.0
2013-09-01,89145,146200.0
2013-09-01,89084,195700.0
2013-09-01,89701,158500.0
2013-09-01,89801,229500.0
2013-09-01,89120,157700.0
2013-09-01,89044,263500.0
2013-09-01,89156,120200.0
2013-09-01,89048,134800.0
2013-09-01,89118,171100.0
2013-09-01,89706,158200.0
2013-09-01,89408,133900.0
2013-09-01,89166,200600.0
2013-09-01,89144,245800.0
2013-09-01,89146,209400.0
2013-09-01,89027,178300.0
2013-09-01,89403,162300.0
2013-09-01,89433,146700.0
2013-09-01,89005,219400.0
2013-09-01,89138,306000.0
2013-09-01,89460,215000.0
2013-09-01,89423,282900.0
2013-09-01,89410,257400.0
2013-09-01,89815,235500.0
2013-09-01,89029,150800.0
2013-09-01,89109,181400.0
2013-09-01,89508,163200.0
2013-09-01,89703,244400.0
2013-09-01,89441,263300.0
2013-09-01,89060,93500.0
2013-09-01,89143,176400.0
2013-09-01,89519,381700.0
2013-09-01,89447,108300.0
2013-09-01,89179,218100.0
2013-09-01,89429,101600.0
2013-09-01,89061,132200.0
2013-09-01,89451,691300.0
2013-09-01,89501,196500.0
2013-09-01,89705,211600.0
2013-09-01,89510,273400.0
2013-09-01,89086,179200.0
2013-09-01,89448,492800.0
2013-09-01,89704,226300.0
2013-09-01,89449,274600.0
2013-09-01,89040,134600.0
2013-09-01,89444,227200.0
2013-09-01,89085,235900.0
2013-09-01,89034,266600.0
2013-09-01,89021,191300.0
2013-09-01,89439,309700.0
2013-09-01,89411,519000.0
2013-09-01,89124,207200.0
2013-09-01,89440,137100.0
2013-09-01,89413,1439900.0
2013-09-01,89155,252700.0
2013-10-01,89108,124100.0
2013-10-01,89121,122000.0
2013-10-01,89117,239400.0
2013-10-01,89052,319400.0
