,time,CPI,real_GDP,inflation,unemployment_rate,population,household_income,population_density,RegionName
111,2005-02-01,195.7705868684855,14936.205271390412,3.414396514449841,5.255459005080975,1166,98403,0.8565964632162988,89124
112,2005-02-01,195.7705868684855,14936.205271390412,3.414396514449841,5.255459005080975,31530,57187,5255.071682619643,89128
113,2005-02-01,195.7705868684855,14936.205271390412,3.414396514449841,5.255459005080975,43310,66458,4326.75121616746,89129
114,2005-02-01,195.7705868684855,14936.205271390412,3.414396514449841,5.255459005080975,28600,54922,3738.6397751674895,89130
115,2005-02-01,195.7705868684855,14936.205271390412,3.414396514449841,5.255459005080975,35106,80240,2190.057677211105,89131
116,2005-02-01,195.7705868684855,14936.205271390412,3.414396514449841,5.255459005080975,23314,158300,3516.5019074300676,89134
117,2005-02-01,195.7705868684855,14936.205271390412,3.414396514449841,5.255459005080975,17902,161616,392.68265505721655,89135
118,2005-02-01,195.7705868684855,14936.205271390412,3.414396514449841,5.255459005080975,8452,121514,2007.749063012174,89138
119,2005-02-01,195.7705868684855,14936.205271390412,3.414396514449841,5.255459005080975,21566,54672,2036.4737356476633,89139
120,2005-02-01,195.7705868684855,14936.205271390412,3.414396514449841,5.255459005080975,16481,110687,1541.7892385128814,89141
121,2005-02-01,195.7705868684855,14936.205271390412,3.414396514449841,5.255459005080975,28290,38530,5943.416675637744,89142
122,2005-02-01,195.7705868684855,14936.205271390412,3.414396514449841,5.255459005080975,10512,60531,3073.7344036053273,89143
123,2005-02-01,195.7705868684855,14936.205271390412,3.414396514449841,5.255459005080975,17099,131708,4351.095799917663,89144
124,2005-02-01,195.7705868684855,14936.205271390412,3.414396514449841,5.255459005080975,21164,102966,4591.008488277699,89145
125,2005-02-01,195.7705868684855,14936.205271390412,3.414396514449841,5.255459005080975,15228,59656,3179.178378988527,89146
126,2005-02-01,195.7705868684855,14936.205271390412,3.414396514449841,5.255459005080975,42037,64565,5665.401731001476,89147
127,2005-02-01,195.7705868684855,14936.205271390412,3.414396514449841,5.255459005080975,27555,62462,2236.6374771705628,89148
128,2005-02-01,195.7705868684855,14936.205271390412,3.414396514449841,5.255459005080975,21955,87653,1829.6206540924986,89149
129,2005-02-01,195.7705868684855,14936.205271390412,3.414396514449841,5.255459005080975,23087,39382,711.4736748105012,89156
130,2005-02-01,195.7705868684855,14936.205271390412,3.414396514449841,5.255459005080975,1360,39990,7.044973320445969,89166
131,2005-02-01,195.7705868684855,14936.205271390412,3.414396514449841,5.255459005080975,10401,59324,544.2793964677118,89178
132,2005-02-01,195.7705868684855,14936.205271390412,3.414396514449841,5.255459005080975,565,52431,4.748714079924647,89179
133,2005-02-01,195.7705868684855,14936.205271390412,3.414396514449841,5.255459005080975,13052,53609,1862.0177265606503,89183
