,time,CPI,real_GDP,inflation,unemployment_rate,population,household_income,population_density,RegionName,SizeRank,City,Metro,CountyName,value
118,2005-02-01,195.7705868684855,14936.205271390412,3.414396514449841,5.255459005080975,8452,121514,2007.749063012174,89138,6884,Las Vegas,Las Vegas,Clark,480600.0
119,2005-02-01,195.7705868684855,14936.205271390412,3.414396514449841,5.255459005080975,21566,54672,2036.4737356476633,89139,2162,Las Vegas,Las Vegas,Clark,316100.0
120,2005-02-01,195.7705868684855,14936.205271390412,3.414396514449841,5.255459005080975,16481,110687,1541.7892385128814,89141,3629,Las Vegas,Las Vegas,Clark,362800.0
121,2005-02-01,195.7705868684855,14936.205271390412,3.414396514449841,5.255459005080975,28290,38530,5943.416675637744,89142,3949,Las Vegas,Las Vegas,Clark,231100.0
122,2005-02-01,195.7705868684855,14936.205271390412,3.414396514449841,5.255459005080975,10512,60531,3073.7344036053273,89143,8369,Las Vegas,Las Vegas,Clark,323600.0
123,2005-02-01,195.7705868684855,14936.205271390412,3.414396514449841,5.255459005080975,17099,131708,4351.095799917663,89144,5582,Las Vegas,Las Vegas,Clark,407100.0
124,2005-02-01,195.7705868684855,14936.205271390412,3.414396514449841,5.255459005080975,21164,102966,4591.008488277699,89145,4327,Las Vegas,Las Vegas,Clark,255400.0
125,2005-02-01,195.7705868684855,14936.205271390412,3.414396514449841,5.255459005080975,15228,59656,3179.178378988527,89146,5922,Las Vegas,Las Vegas,Clark,333400.0
126,2005-02-01,195.7705868684855,14936.205271390412,3.414396514449841,5.255459005080975,42037,64565,5665.401731001476,89147,575,Las Vegas,Las Vegas,Clark,315000.0
127,2005-02-01,195.7705868684855,14936.205271390412,3.414396514449841,5.255459005080975,27555,62462,2236.6374771705628,89148,511,Las Vegas,Las Vegas,Clark,361100.0
128,2005-02-01,195.7705868684855,14936.205271390412,3.414396514449841,5.255459005080975,21955,87653,1829.6206540924986,89149,2183,Las Vegas,Las Vegas,Clark,352000.0
129,2005-02-01,195.7705868684855,14936.205271390412,3.414396514449841,5.255459005080975,23087,39382,711.4736748105012,89156,4829,Las Vegas,Las Vegas,Clark,224900.0
130,2005-02-01,195.7705868684855,14936.205271390412,3.414396514449841,5.255459005080975,1360,39990,7.044973320445969,89166,5509,Las Vegas,Las Vegas,Clark,350200.0
131,2005-02-01,195.7705868684855,14936.205271390412,3.414396514449841,5.255459005080975,10401,59324,544.2793964677118,89178,2504,Las Vegas,Las Vegas,Clark,348700.0
132,2005-02-01,195.7705868684855,14936.205271390412,3.414396514449841,5.255459005080975,565,52431,4.748714079924647,89179,9005,Las Vegas,Las Vegas,Clark,342500.0
133,2005-02-01,195.7705868684855,14936.205271390412,3.414396514449841,5.255459005080975,13052,53609,1862.0177265606503,89183,2668,Las Vegas,Las Vegas,Clark,315100.0
